TIME,IP_SRC,IP_DST,PORT_SRC,PORT_DST,PROTOCOL,LENGTH
0.0,192.168.170.8,192.168.170.20,32795,53,DNS,70
0.00053,192.168.170.20,192.168.170.8,53,32795,DNS,98
4.005222,192.168.170.8,192.168.170.20,32795,53,DNS,70
4.837355,192.168.170.20,192.168.170.8,53,32795,DNS,298
12.817185,192.168.170.8,192.168.170.20,32795,53,DNS,70
12.956209,192.168.170.20,192.168.170.8,53,32795,DNS,70
20.824827,192.168.170.8,192.168.170.20,32795,53,DNS,85
20.825333,192.168.170.20,192.168.170.8,53,32795,DNS,129
92.189905,192.168.170.8,192.168.170.20,32795,53,DNS,74
92.238816,192.168.170.20,192.168.170.8,53,32795,DNS,90
108.965135,192.168.170.8,192.168.170.20,32795,53,DNS,74
109.202803,192.168.170.20,192.168.170.8,53,32795,DNS,102
169.027394,192.168.170.8,192.168.170.20,32795,53,DNS,74
169.027781,192.168.170.20,192.168.170.8,53,32795,DNS,102
178.239844,192.168.170.8,192.168.170.20,32795,53,DNS,74
178.256382,192.168.170.20,192.168.170.8,53,32795,DNS,94
187.853816,192.168.170.8,192.168.170.20,32795,53,DNS,76
187.870481,192.168.170.20,192.168.170.8,53,32795,DNS,76
228.708302,192.168.170.8,192.168.170.20,32795,53,DNS,75
228.941445,192.168.170.20,192.168.170.8,53,32795,DNS,75
240.323938,192.168.170.8,192.168.170.20,32795,53,DNS,79
240.53693,192.168.170.20,192.168.170.8,53,32795,DNS,79
271.164734,192.168.170.8,192.168.170.20,32795,53,DNS,71
271.237338,192.168.170.20,192.168.170.8,53,32795,DNS,115
271.241158,192.168.170.8,192.168.170.20,32796,53,DNS,82
271.241746,192.168.170.20,192.168.170.8,53,32796,DNS,105
271.24412,192.168.170.8,192.168.170.20,32797,53,DNS,67
271.259884,192.168.170.56,217.13.4.24,1707,53,DNS,129
271.262407,192.168.170.20,192.168.170.8,53,32797,DNS,166
271.279695,217.13.4.24,192.168.170.56,53,1707,DNS,129
271.28035,192.168.170.56,217.13.4.24,1708,53,DNS,98
271.297651,217.13.4.24,192.168.170.56,53,1708,DNS,98
271.298194,192.168.170.56,217.13.4.24,1709,53,DNS,140
271.317878,217.13.4.24,192.168.170.56,53,1709,DNS,140
271.419659,192.168.170.56,217.13.4.24,1710,53,DNS,83
271.436583,217.13.4.24,192.168.170.56,53,1710,DNS,83
278.8613,192.168.170.56,217.13.4.24,1711,53,DNS,83
278.879313,217.13.4.24,192.168.170.56,53,1711,DNS,83
